id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
h1R2iKYdm2lwukzMJvJqDw,hangari-kalguksu-los-angeles-4,Hangari Kalguksu,https://s3-media3.fl.yelpcdn.com/bphoto/X_U65O9YnvMyb42h1BZ0JQ/o.jpg,False,https://www.yelp.com/biz/hangari-kalguksu-los-angeles-4?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,2442,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 34.0628602582049, 'longitude': -118.297570301258}","['delivery', 'pickup']",$$,"{'address1': '3470 W 6th St', 'address2': 'Ste 9&10', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3470 W 6th St', 'Ste 9&10', 'Los Angeles, CA 90020']}",+12133882326,(213) 388-2326,11451.915903053734
3C2wUqSkpY4-N0O5ArVjwQ,yuk-dae-jang-los-angeles-2,Yuk Dae Jang,https://s3-media2.fl.yelpcdn.com/bphoto/5y-hXEjEBMMuGJFopTuvFQ/o.jpg,False,https://www.yelp.com/biz/yuk-dae-jang-los-angeles-2?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,720,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 34.0640411376953, 'longitude': -118.288063049316}","['delivery', 'pickup']",$$,"{'address1': '3033 W 6th St', 'address2': 'Ste 104-105', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3033 W 6th St', 'Ste 104-105', 'Los Angeles, CA 90020']}",+12133521331,(213) 352-1331,12305.727720736246
uzAbw27XQTXTivjgf2bN2w,han-bat-sul-lung-tang-los-angeles-2,Han Bat Sul Lung Tang,https://s3-media2.fl.yelpcdn.com/bphoto/YttPoxI3HwOSv5Y3hK_v-Q/o.jpg,False,https://www.yelp.com/biz/han-bat-sul-lung-tang-los-angeles-2?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,2695,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 34.065414, 'longitude': -118.3095703125}",['delivery'],$$,"{'address1': '4163 W 5th St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['4163 W 5th St', 'Los Angeles, CA 90020']}",+12133839499,(213) 383-9499,10588.083046192598
KtEMG1Aln3vQzte92QJxlw,genwa-korean-bbq-mid-wilshire-los-angeles,Genwa Korean BBQ Mid Wilshire,https://s3-media2.fl.yelpcdn.com/bphoto/n6VHst4bi3Mq4ZUU3qfhYg/o.jpg,False,https://www.yelp.com/biz/genwa-korean-bbq-mid-wilshire-los-angeles?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,3073,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 34.062321315088, 'longitude': -118.340898970219}","['delivery', 'pickup']",$$$,"{'address1': '5115 Wilshire Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['5115 Wilshire Blvd', 'Los Angeles, CA 90036']}",+13235490760,(323) 549-0760,7958.053069140306
0SerWqGwzNWpTA2RBLVdUg,sun-nong-dan-los-angeles-4,Sun Nong Dan,https://s3-media3.fl.yelpcdn.com/bphoto/wGqvSZirIJMFBYwB4-8wzQ/o.jpg,False,https://www.yelp.com/biz/sun-nong-dan-los-angeles-4?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,2293,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,"{'latitude': 34.0630233116146, 'longitude': -118.29753992865226}","['delivery', 'pickup']",$$$,"{'address1': '3470 W 6th St', 'address2': 'Ste 7', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3470 W 6th St', 'Ste 7', 'Los Angeles, CA 90020']}",+12133650303,(213) 365-0303,11461.989315097571
AMToHWpsF8LHyVQbqDrE1Q,bop-hago-northridge,Bop + Hago,https://s3-media4.fl.yelpcdn.com/bphoto/YHVLX7ymAzwznZUofW4ZKQ/o.jpg,False,https://www.yelp.com/biz/bop-hago-northridge?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,89,"[{'alias': 'korean', 'title': 'Korean'}]",5.0,"{'latitude': 34.236531, 'longitude': -118.537568}",[],,"{'address1': '9135 Reseda Blvd', 'address2': '', 'address3': '', 'city': 'Northridge', 'zip_code': '91324', 'country': 'US', 'state': 'CA', 'display_address': ['9135 Reseda Blvd', 'Northridge, CA 91324']}",+18184772397,(818) 477-2397,26748.92522885783
iI7Q0brUNJdcZipgTMKMag,emily-grill-culver-city-2,Emily Grill,https://s3-media2.fl.yelpcdn.com/bphoto/mkuaI3IvWk3P0YsXsjlY4g/o.jpg,False,https://www.yelp.com/biz/emily-grill-culver-city-2?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,359,"[{'alias': 'korean', 'title': 'Korean'}]",5.0,"{'latitude': 34.0224317, 'longitude': -118.3998059}","['delivery', 'pickup']",$$,"{'address1': '10020 Venice Blvd', 'address2': '', 'address3': None, 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['10020 Venice Blvd', 'Culver City, CA 90232']}",+13102027770,(310) 202-7770,1031.7799854095836
jetc2rZgRo_YBmxmOTNcEg,seoul-house-of-tofu-los-angeles,Seoul House of Tofu,https://s3-media1.fl.yelpcdn.com/bphoto/7BVNdpF3ixeLHx8sEOO9PA/o.jpg,False,https://www.yelp.com/biz/seoul-house-of-tofu-los-angeles?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,1060,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soup', 'title': 'Soup'}]",3.5,"{'latitude': 34.0392205951154, 'longitude': -118.442666190498}",['delivery'],$$,"{'address1': '2101 Sawtelle Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['2101 Sawtelle Blvd', 'Los Angeles, CA 90025']}",+13104449988,(310) 444-9988,3636.508553778161
TWHGJkTAbF22hvXeReQp9w,kobawoo-house-los-angeles-2,Kobawoo House,https://s3-media2.fl.yelpcdn.com/bphoto/KhZfyOnlF507uEwNbTZLqg/o.jpg,False,https://www.yelp.com/biz/kobawoo-house-los-angeles-2?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,1421,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 34.06013289065783, 'longitude': -118.29101483970346}","['delivery', 'pickup']",$$,"{'address1': '698 S Vermont Ave', 'address2': 'Ste 109', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['698 S Vermont Ave', 'Ste 109', 'Los Angeles, CA 90005']}",+12133897300,(213) 389-7300,11887.378929088727
qAAoilHU25Qr45FOQlA19g,baekjeong-los-angeles-los-angeles,Baekjeong - Los Angeles,https://s3-media3.fl.yelpcdn.com/bphoto/izhJQsGE5LZAHQb-WmNwSA/o.jpg,False,https://www.yelp.com/biz/baekjeong-los-angeles-los-angeles?adjust_creative=6EhOX2eukjBFHgFWMXrSWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6EhOX2eukjBFHgFWMXrSWQ,4933,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,"{'latitude': 34.06375298900917, 'longitude': -118.29728290552232}","['delivery', 'pickup']",$$$,"{'address1': '3465 W 6th St', 'address2': 'Ste 20', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3465 W 6th St', 'Ste 20', 'Los Angeles, CA 90020']}",+12133849678,(213) 384-9678,11517.437234712303
